name_film,oscar,release,length,genre,historic,war,true_story,biographical,bait_score,winner
Philomena,86rd,November,98,Drama,2,2,1,1,2,2
Nebraska,86rd,November,115,Dunkle Komödie,2,2,2,2,0,2
Her,86rd,Dezember,126,Drama,2,2,2,2,0,2
Gravity,86rd,Oktober,91,Thriller,2,2,2,2,0,2
Dallas Buyers Club,86rd,November,117,Drama,2,2,1,1,2,2
Captain Philips,86rd,Oktober,134,Action,2,2,1,1,2,2
American Hustle,86rd,Dezember,138,Drama,2,2,1,2,1,2
12 Years a Slave,86rd,November,134,Drama,1,2,1,1,3,1
Zero Dark Thirty,85rd,Januar AS,157,Thriller,1,1,1,2,3,2
Silver Linings Playbook,85rd,November,122,Romantische Komödie,2,2,2,2,0,2
Les Misérables,85rd,Dezember,158,Musical,1,2,2,2,1,2
Lincoln,85rd,November,150,Drama,1,2,1,1,3,2
Life of Pi,85rd,November,127,Abenteuer,2,2,2,2,0,2
Django Unchained,85rd,Dezember,165,Neo-Western,1,2,2,2,1,2
Beasts of the Southern Wild,85rd,Juni,93,Fantasy,2,2,2,2,0,2
Amour,85rd,September,128,Drama,2,2,2,2,0,2
Argo,85rd,Oktober,120,Drama,2,2,1,1,2,1
War Horse,84rd,Dezember,146,Drama,1,1,2,2,2,2
The Tree of Life,84rd,Mai,139,Coming-of-Age,1,2,2,2,1,2
Moneyball,84rd,September,133,Drama,2,2,1,1,2,2
Midnight in Paris,84rd,Mai,94,Romantische Komödie,1,2,2,2,1,2
Hugo,84rd,November,126,Abenteuer,1,2,2,2,1,2
The Help,84rd,August,146,Drama,1,2,2,2,1,2
Extremely Loud & Incredibly Close,84rd,Dezember,129,Coming-of-Age,1,2,2,2,1,2
The Descendants,84rd,November,115,Dunkle Komödie,2,2,2,2,0,2
The Artist,84rd,Oktober,100,Drama,1,2,2,2,1,1
Winter´s Bone,83rd,Juni,100,Coming-of-Age,2,2,2,2,0,2
True Grit,83rd,Dezember,110,Western,1,2,2,2,1,2
Toy Story 3,83rd,Juni,103,Komödie,2,2,2,2,0,2
The Social Network,83rd,Oktober,120,Drama,2,2,1,1,2,2
127 Hours,83rd,November,94,Drama,2,2,1,1,2,2
The Kids Are All Right,83rd,Juli,107,Komödie,2,2,2,2,0,2
Inception,83rd,Juli,148,Action,2,2,2,2,0,2
The Fighter,83rd,Dezember,116,Drama,2,2,1,1,2,2
Black Swan,83rd,Dezember,108,Horror,2,2,2,2,0,2
The King´s Speech,83rd,Dezember,119,Drama,1,1,1,1,4,1
Up in the Air,82rd,Dezember,109,Drama,2,2,2,2,0,2
Up,82rd,Mai,96,Komödie,2,2,2,2,0,2
A Serious Man,82rd,Oktober,106,Dunkle Komödie,1,2,2,2,1,2
Precious,82rd,November,110,Coming-of-Age,2,2,2,2,0,2
Inglouris Basterds,82rd,August,153,Dunkle Komödie,1,1,1,2,3,2
An Education,82rd,Februar AS,100,Coming-of-Age,1,2,1,1,3,2
District 9,82rd,August,112,Science-Fiction,2,2,2,2,0,2
The Blind Side,82rd,November,126,Drama,2,2,2,2,0,2
Avatar,82rd,Dezember,162,Science-Fiction,2,1,2,2,1,2
The Hurt Locker,82rd,Juni,131,Thriller,2,1,2,2,1,1
The Reader,81rd,Dezember,124,Drama,1,2,2,2,1,2
Milk,81rd,November,128,Drama,1,2,1,1,3,2
Frost/Nixon,81rd,Dezember,122,Drama,1,2,1,1,3,2
The Courious Case of Benjamin Button,81rd,Dezember,166,Drama,1,2,2,2,1,2
Slumdog Millionaire,81rd,Januar AS,120,Drama,2,2,2,2,0,1
There Will Be Blood,80rd,Dezember,158,Drama,1,2,2,2,1,2
Michael Clayton,80rd,Oktober,120,Thriller,2,2,2,2,0,2
Juno,80rd,Dezember,96,Komödie,2,2,2,2,0,2
Atonement,80rd,Dezember,123,Drama,1,1,2,2,2,2
No Country for Old Men,80rd,November,122,Neo-Western,2,2,2,2,0,1
The Queen,79rd,September,103,Drama,1,2,1,1,3,2
Little Miss Sunshine,79rd,Juli,102,Dunkle Komödie,2,2,2,2,0,2
Letters from Iwo Jima,79rd,Dezember,140,Epos,1,1,2,2,2,2
Babel,79rd,Oktober,144,Drama,2,2,2,2,0,2
The Departed,79rd,Oktober,151,Thriller,1,2,1,2,2,1
Munich,78rd,Dezember,163,Epos,1,2,1,2,2,2
Good Night and Good Luck,78rd,Oktober,93,Drama,1,1,1,1,4,2
Capote,78rd,September,114,Drama,1,2,1,1,3,2
Brokeback Mountain,78rd,Dezember,134,Neo-Western,1,2,2,2,1,2
Crash,78rd,Mai,112,Drama,2,2,2,2,0,1
Sideways,77rd,Oktober,127,Dunkle Komödie,2,2,2,2,0,2
Ray,77rd,Oktober,152,Drama,2,2,1,1,2,2
Finding Neverland,77rd,November,101,Drama,2,2,1,1,2,2
The Aviator,77rd,Dezember,170,Drama,1,2,1,1,3,2
Million Dollar Baby,77rd,Dezember,132,Drama,2,2,2,2,0,1
Seabiscuit,76rd,Juli,141,Drama,1,2,1,2,2,2
Mystic River,76rd,Oktober,138,Drama,2,2,2,2,0,2
Master and Commander: The Far Side of the World,76rd,November,138,Epos,2,1,2,2,1,2
Lost in Translation,76rd,September,102,Drama,2,2,2,2,0,2
The Lord of the Rings: The Return of The King,76rd,Dezember,201,Fantasy,2,1,2,2,1,1
The Pianist,75rd,Dezember,143,Drama,1,1,1,1,4,2
The Lord of the Rings: The Two Towers,75rd,Dezember,179,Fantasy,2,1,2,2,1,2
The Hours,75rd,Dezember,114,Drama,1,2,2,2,1,2
Gangs of New York,75rd,Dezember,167,Drama,1,2,1,2,2,2
Chicago,75rd,Dezember,113,Muscial,1,2,2,2,1,1
Moulin Rouge!,74rd,Juni,128,Musical,1,2,2,2,1,2
The Lord of the Rings: The Fellowship of the Ring,74rd,Dezember,178,Fantasy,2,2,2,2,0,2
In the Bedroom,74rd,November,131,Drama,2,2,2,2,0,2
Gosford Park,74rd,Januar AS,137,Dunkle Komödie,1,2,2,2,1,2
A Beautiful Mind,74rd,Dezember,135,Drama,1,2,1,1,3,1
Traffic,73rd,Dezember,147,Drama,2,2,2,2,0,2
Erin Brockovich,73rd,März,130,Drama,2,2,1,1,2,2
Crouching Tiger Hidden Dragon,73rd,Dezember,120,Action,1,2,2,2,1,2
Chocolat,73rd,Dezember,121,Romanze,1,2,2,2,1,2
Gladiator,73rd,Mai,171,Epos,1,2,2,2,1,1
The Sixth Sense,72rd,August,108,Thriller,2,2,2,2,0,2
The Insider,72rd,November,158,Drama,2,2,1,1,2,2
The Green Mile,72rd,Dezember,189,Drama,2,2,2,2,0,2
The Cider House Roules,72rd,Dezember,125,Drama,1,1,2,2,2,2
American Beauty,72rd,September,122,Dunkle Komödie,2,2,2,2,0,1
The Thin Red Line,71rd,Dezember,171,Epos,1,1,1,2,3,2
Saving Private Ryan,71rd,Juli,170,Epos,1,1,1,2,3,2
Life is Beautiful,71rd,Oktober,116,Drama,1,1,1,2,3,2
Elizabeth,71rd,Oktober,123,Drama,1,2,1,1,3,2
Shakespare in Love,71rd,Dezember,123,Drama,1,2,1,2,2,1
L.A. Confidential,70rd,September,138,Thriller,1,2,2,2,1,2
Good Will Hunting,70rd,Dezember,126,Drama,2,2,1,2,1,2
